id,status,grade,candidate_count,reason
train-000000,unprocessed,,0,not_selected_or_gate_blocked
train-000001,unprocessed,,0,not_selected_or_gate_blocked
train-000002,unprocessed,,0,not_selected_or_gate_blocked
train-000003,unprocessed,,0,not_selected_or_gate_blocked
train-000004,unprocessed,,0,not_selected_or_gate_blocked
train-000005,unprocessed,,0,not_selected_or_gate_blocked
train-000007,unprocessed,,0,not_selected_or_gate_blocked
train-000009,unprocessed,,0,not_selected_or_gate_blocked
train-000010,unprocessed,,0,not_selected_or_gate_blocked
train-000011,unprocessed,,0,not_selected_or_gate_blocked
train-000012,unprocessed,,0,not_selected_or_gate_blocked
train-000016,unprocessed,,0,not_selected_or_gate_blocked
train-000019,unprocessed,,0,not_selected_or_gate_blocked
train-000020,unprocessed,,0,not_selected_or_gate_blocked
train-000021,unprocessed,,0,not_selected_or_gate_blocked
train-000022,unprocessed,,0,not_selected_or_gate_blocked
train-000023,unprocessed,,0,not_selected_or_gate_blocked
train-000024,unprocessed,,0,not_selected_or_gate_blocked
train-000025,unprocessed,,0,not_selected_or_gate_blocked
train-000026,unprocessed,,0,not_selected_or_gate_blocked
train-000027,unprocessed,,0,not_selected_or_gate_blocked
train-000029,unprocessed,,0,not_selected_or_gate_blocked
train-000030,unprocessed,,0,not_selected_or_gate_blocked
train-000031,unprocessed,,0,not_selected_or_gate_blocked
train-000032,unprocessed,,0,not_selected_or_gate_blocked
train-000033,unprocessed,,0,not_selected_or_gate_blocked
train-000037,unprocessed,,0,not_selected_or_gate_blocked
train-000039,unprocessed,,0,not_selected_or_gate_blocked
train-000040,unprocessed,,0,not_selected_or_gate_blocked
train-000042,unprocessed,,0,not_selected_or_gate_blocked
train-000043,unprocessed,,0,not_selected_or_gate_blocked
train-000044,unprocessed,,0,not_selected_or_gate_blocked
train-000045,unprocessed,,0,not_selected_or_gate_blocked
train-000049,unprocessed,,0,not_selected_or_gate_blocked
train-000050,unprocessed,,0,not_selected_or_gate_blocked
train-000051,unprocessed,,0,not_selected_or_gate_blocked
train-000052,unprocessed,,0,not_selected_or_gate_blocked
train-000053,unprocessed,,0,not_selected_or_gate_blocked
train-000054,unprocessed,,0,not_selected_or_gate_blocked
train-000055,unprocessed,,0,not_selected_or_gate_blocked
train-000058,unprocessed,,0,not_selected_or_gate_blocked
train-000059,unprocessed,,0,not_selected_or_gate_blocked
train-000060,unprocessed,,0,not_selected_or_gate_blocked
train-000061,unprocessed,,0,not_selected_or_gate_blocked
train-000065,unprocessed,,0,not_selected_or_gate_blocked
train-000067,unprocessed,,0,not_selected_or_gate_blocked
train-000068,unprocessed,,0,not_selected_or_gate_blocked
train-000070,unprocessed,,0,not_selected_or_gate_blocked
train-000071,unprocessed,,0,not_selected_or_gate_blocked
train-000072,unprocessed,,0,not_selected_or_gate_blocked
train-000073,unprocessed,,0,not_selected_or_gate_blocked
train-000075,unprocessed,,0,not_selected_or_gate_blocked
train-000076,unprocessed,,0,not_selected_or_gate_blocked
train-000079,unprocessed,,0,not_selected_or_gate_blocked
train-000080,unprocessed,,0,not_selected_or_gate_blocked
train-000082,unprocessed,,0,not_selected_or_gate_blocked
train-000084,unprocessed,,0,not_selected_or_gate_blocked
train-000086,unprocessed,,0,not_selected_or_gate_blocked
train-000087,unprocessed,,0,not_selected_or_gate_blocked
train-000089,unprocessed,,0,not_selected_or_gate_blocked
